gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G03457	5.16145	12.855	6.91419	2.33313
AT1G03470	7.85642	8.36934	11.6091	5.20992
AT1G03475	144.567	25.3001	87.5196	81.5449
AT1G03502,AT1G03506	3.8278	5.68789	4.0927	3.90532
AT1G03510	1.40904	1.60881	1.94489	1.56281
AT1G03520	12.1754	10.6317	13.3136	14.0039
AT1G03530	6.35215	13.1502	9.49082	6.15137
AT1G03550	6.49332	22.4295	13.9843	9.81466
AT1G03560	4.79889	5.74909	4.89353	4.71558
AT1G03590	21.0962	20.0045	31.3616	24.8492
AT1G03620	2.21291	6.28722	4.19112	2.19015
AT1G03640	0	0	0	0
AT1G03650,AT1G03660	5.47009	8.59846	6.56512	2.89289
AT1G03670	0.00694936	0	0.100409	0.017024
AT1G03680	308.911	11.8225	122.825	201.513
AT1G03720	0	0	0.929464	0.211636
AT1G03730	7.22659	21.1645	5.81788	6.66686
AT1G03743	0	0	0	0
AT1G03746	0	0	0	0
AT1G03760	4.48917	9.66983	8.13081	5.61024
AT1G03780	8.08709	7.67435	15.5064	3.75779
AT1G03800	0.615203	0.259448	0.962762	1.13764
AT1G03820	4.13642	28.5904	21.4522	14.5961
AT1G03830	3.76274	5.49526	6.27564	4.84334
AT1G03840	0.29544	6.66632	0.947448	0.263245
AT1G03850	10.634	98.4627	5.15591	2.46021
AT1G03860	36.5571	64.648	47.5476	36.6621
AT1G03870	61.5282	109.593	31.6942	15.0442
AT1G03940,AT1G03950	4.65393	6.91615	5.59448	5.93926
AT1G03980	2.72599	4.08623	3.13182	3.83591
AT1G03982	0	0	0.0213274	0.00529633
AT1G04000	5.18305	5.73094	7.2575	18.5206
AT1G04010	2.74212	7.90387	7.85152	8.12716
AT1G04040	29.1971	181.538	7.09911	25.5202
AT1G04050	1.30569	2.49155	4.80495	3.25148
AT1G04070	4.03617	11.1324	11.5708	11.2145
AT1G04110	4.97041	0.0499662	3.21347	0.250013
AT1G04120	16.1893	41.1456	46.1972	42.7644
AT1G04140	40.0654	60.0378	39.7175	35.4735
AT1G04150	0.0850077	0.390043	0.95264	0.531911
AT1G04171	0	0	0	0
AT1G04190	16.7319	34.645	28.9146	21.1527
AT1G04220	1.04155	19.3266	56.8211	76.4701
AT1G04240	27.1872	17.0986	19.5648	19.6556
AT1G04260	11.4119	19.0903	17.7191	19.6
AT1G04270	291.308	540.316	483.763	326.579
AT1G04280	24.4171	24.8656	7.80553	3.60321
AT1G04290	10.6169	10.0548	28.312	17.4017
AT1G04300	25.8625	36.0507	25.4753	21.469
AT1G04310	3.56466	7.63155	11.9679	9.6217
AT1G04330	0.186335	1.53032	0.3264	0.271699
AT1G04340	15.3665	38.5993	36.7726	34.6642
AT1G04360	2.1695	8.28767	0.63617	0.339322
AT1G04380	0.0932085	0.24801	0.322299	15.4052
AT1G04390	9.49699	9.64385	9.39649	7.81139
AT1G04400	89.7754	70.6924	63.3424	49.0236
AT1G04410	515.634	946.72	383.992	495.915
AT1G04457	0	0.080256	0.357962	0.313947
AT1G04470	0.0138972	0.00458013	17.8802	2.02092
AT1G04490	0.221491	4.08797	0.896694	0.896728
AT1G04500	0.195174	0.0201812	2.6518	0.754542
AT1G04530	49.7452	26.4	52.4734	35.1435
AT1G04570	0.654477	0.701626	3.35087	8.03174
AT1G04580	0.0179984	0.0161236	6.79892	22.328
AT1G04590	11.9409	18.2781	21.6997	16.0266
AT1G04620	10.8013	5.52836	3.85654	10.1942
AT1G04625,AT1G04630	27.6113	30.694	32.6911	35.2893
AT1G04645	0	0	8.04654	60.1664
AT1G04650	1.57373	1.89176	1.93574	1.88147
AT1G04660	0.407756	0.237408	12.8351	16.2574
AT1G04680	25.9234	45.2709	78.1151	137.101
AT1G04684	0	0	0	0
AT1G04730	2.8338	3.61943	4.78125	2.94838
AT1G04750	54.4026	101.223	91.1302	83.9224
AT1G04770	14.0952	15.096	19.8523	27.8212
AT1G04780	20.162	32.2651	25.988	22.3672
AT1G04800	124.351	0.108848	38.1304	34.8425
AT1G04820	271.984	395.891	416.384	436.402
AT1G04830	9.64234	14.8211	12.9652	10.4757
AT1G04840	0.520209	1.02511	0.827491	0.587348
AT1G04850	34.4202	76.5585	64.1538	59.8172
AT1G04860	11.0235	16.2292	10.2777	9.99125
AT1G04870	11.0093	32.6679	17.4313	11.3815
AT1G04880	0.214138	0.319435	9.18896	2.02184
AT1G04890	0	0	2.95019	0.0568471
AT1G04910	14.2942	24.0438	22.096	20.675
AT1G04920	0.86395	0.0636428	5.15377	0.85903
AT1G04930	1.82386	3.49269	3.74663	1.97024
AT1G04950	14.6107	14.8703	17.1453	14.5531
AT1G04960	13.4258	18.7909	14.9563	14.0541
AT1G04980	3.97448	23.5967	16.1092	16.2324
AT1G04985	18.5593	17.7324	19.9335	16.773
AT1G04990	8.74796	17.1797	20.6641	38.2526
AT1G05010	183.59	43.5862	18.727	7.16497
AT1G05020	1.63412	0.355199	1.85024	0.189074
